Character Name,Height,Weight,Bust,Waist,Hip,Gender,Eye Color,Hair Color,Hair Length,Apparent Age,Animal Ears,
Yuki Hosokawa,,,,,,Female ,Black ,Blue ,To Neck ,Teen ,No ,
Anna Mikado,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Anzu,,,,,,Female ,Yellow ,Blonde ,To Shoulders ,Teen ,No ,
Kiyoharu Suirenji,,,,,,Female ,Blue ,Blonde ,To Neck ,Teen ,No ,
Iroha Igarashi,,,,,,Female ,Brown ,Pink ,To Waist ,Teen ,No ,
Admiral Graf.Spee,,,,,,Female ,Blue ,White ,To Chest ,Teen ,No ,
Mei Aihara,,,,,,Female ,Pink ,Black ,To Chest ,Teen ,No ,
Yuzu Aihara,,,,,,Female ,Green ,Blonde ,To Chest ,Teen ,No ,
Hana Nono,,,,,,Female ,Pink ,Maroon ,To Shoulders ,Teen ,No ,
Kanata Shinozaki,,,,,,Female ,Purple ,Purple ,To Shoulders ,Teen ,No ,
Shizuku Ariyama,,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Riona Matsumoto,,,,,,Female ,Red ,Brown ,To Shoulders ,Teen ,No ,
Mikan Kise,157cm,,,,,Female ,Blue ,Gray ,To Chest ,Teen ,No ,
Kirari Momobami,166cm,,,,,Female ,Blue ,Gray ,To Neck ,Teen ,No ,
Kaede Sendouin,,,,,,Female ,Purple ,Blonde ,To Waist ,Teen ,No ,
Saaya Yamabuki,,,,,,Female ,Blue ,Brown ,To Shoulders ,Teen ,No ,
Mihiro Miyase,,,,,,Female ,Green ,Pink ,To Shoulders ,Teen ,No ,
Ashe R. Sakuragi,,,,,,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Ako Tamaki,,,,,,Female ,Blue ,Black ,To Waist ,Teen ,No ,
Rin Suzunoki,157cm,,91cm,56cm,81cm,Female ,Orange ,Blonde ,To Chest ,Teen ,No ,
Onsa Amano,155cm,,76cm,55cm,83cm,Female ,Green ,Black ,To Ears ,Teen ,No ,
Nikuko,,,,,,Female ,Brown ,Black ,To Shoulders ,Teen ,No ,
Tera Doukin,,,,,,Female ,Brown ,Pink ,To Waist ,Teen ,No ,
Serika Onoe,,,,,,Female ,Pink ,Pink ,To Ears ,Teen ,No ,
Kirin Toudou,,,,,,Female ,Gray ,Gray ,To Waist ,Teen ,No ,
Otome Saotome,,,,,,Female ,Brown ,Black ,To Neck ,Teen ,No ,
Dorothy Davenport,161cm,48kg,75cm,58cm,82cm,Female ,Green ,Blonde ,To Chest ,Teen ,No ,
Misaki Andou,149cm,,86cm,55cm,84cm,Female ,Purple ,Brown ,To Waist ,Teen ,No ,
Natsuki Nakagawa,,,,,,Female ,Blue ,Brown ,To Shoulders ,Teen ,No ,
Kumiko Oumae,,,,,,Female ,Yellow ,Brown ,To Shoulders ,Teen ,No ,
Kokomi Shiina,160cm,48kg,83cm,58cm,85cm,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Sana Kirishima,,,,,,Female ,Pink ,Black ,To Waist ,Teen ,No ,
Rinka Urushiba,,,,,,Female ,Red ,Brown ,To Waist ,Teen ,No ,
Eimi Akechi,,,,,,Female ,Green ,Red ,To Chest ,Teen ,No ,
Hitoka Yachi,,,,,,Female ,Brown ,Blonde ,To Neck ,Teen ,No ,
Shiori Nishimura,,,,,,Female ,Green ,Red ,Past Waist ,Teen ,No ,
Sayaka Maizono,165cm,49kg,83cm,,,Female ,Blue ,Blue ,Past Waist ,Teen ,No ,
Shouko Sashinami,,,,,,Female ,Green ,Brown ,To Neck ,Teen ,No ,
Tamako Kitashirakawa,156cm,,,,,Female ,Blue ,Black ,To Chest ,Teen ,No ,
Kotori Itsuka,145cm,,72cm,53cm,74cm,Female ,Red ,Red ,Past Waist ,Teen ,No ,
El,,,,,,Female ,Blue ,Brown ,To Chest ,Teen ,No ,
Flint,,,,,,Female ,Gray ,Gray ,To Waist ,Teen ,No ,
Kaede Akamatsu,167cm,53kg,,,,Female ,Pink ,Blonde ,To Chest ,Teen ,No ,
Sawa Okita,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Tamami Konno,151cm,,,,,Female ,Red ,Green ,To Neck ,Teen ,No ,
Reo Kawamura,,,,,,Female ,Blue / Green ,Blonde ,To Chest ,Teen ,No ,
Chihaya Ayase,,,,,,Female ,Red ,Orange ,To Chest ,Teen ,No ,
Kazuki Kazami,150cm,,76cm,57cm,78cm,Female ,Red ,Gray ,Past Waist ,Teen ,No ,
Rin Tezuka,161cm,50kg,83cm,54cm,78cm,Female ,Green ,Maroon ,To Neck ,Teen ,No ,
Hana Katsuragi,,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Minami Shimada,,,,,,Female ,Green ,Red ,To Neck ,Teen ,No ,
Aiko Kudou,,,,,,Female ,Yellow ,Green ,To Ears ,Teen ,No ,
Yukari Takeba,159cm,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Maico,,,,,,Female ,Pink ,Pink ,To Shoulders ,Teen ,No ,
Emi Isuzu,,,,,,Female ,Blue ,Pink ,To Chest ,Teen ,No ,
Nao Takanashi,,,,,,Female ,Yellow ,Blonde ,To Ears ,Teen ,No ,
Satsuki Shinonome,,,,,,Female ,Green ,Gray ,Past Waist ,Teen ,No ,
Mifuyu Kiba,,,,,,Female ,Pink ,Blonde ,Past Waist ,Teen ,No ,
Isara Aomi,160cm,48kg,82cm,57cm,82cm,Female ,Purple ,Brown ,To Waist ,Teen ,No ,
Shino Amakusa,,,,,,Female ,Brown ,Black ,To Waist ,Teen ,No ,
Hibiki Tsukahara,,,,,,Female ,Black ,Black ,To Neck ,Teen ,No ,
Seira Saotome,,,,,,Female ,Purple ,Black ,To Neck ,Adult ,No ,
Asuka Kirishima,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Komomo Hisakaki,,,,,,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Yuma Suzuki,,,,,,Female ,Blue ,Blonde ,To Shoulders ,Teen ,No ,
Makoto Kino,168cm,,,,,Female ,Green ,Brown ,To Waist ,Teen ,No ,
Jacqueline O Lante...,,,,,,Female ,Brown ,Brown ,To Chest ,Teen ,No ,
Kim Diehl,,,,,,Female ,Green ,Pink ,To Neck ,Teen ,No ,
Simca,,,,,,Female ,Gray ,Pink ,Past Waist ,Teen ,No ,
Aya Kuroda,,,,,,Female ,Blue ,Brown ,To Shoulders ,Teen ,No ,
Yoshino,,,,,,Female ,Brown ,Gray ,To Neck ,Teen ,No ,
Atsuko,,,,,,Female ,Purple ,Purple ,To Shoulders ,Teen ,No ,
Haruka Miwa,,,,,,Female ,Green ,Brown ,To Waist ,Teen ,No ,
Kaere Kimura,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Haruka Sakai,154cm,,94cm,58cm,81cm,Female ,Blue ,Red ,To Shoulders ,Teen ,No ,
Meiri Izunae,159cm,,112cm,58cm,94cm,Female ,Blue / Green ,Purple ,To Waist ,Teen ,No ,
Asuka Tooyama,161cm,,108cm,58cm,90cm,Female ,Brown ,Blue ,Past Waist ,Teen ,No ,
Ruriko Shirofuji,,,,,,Female ,Red ,Brown ,To Chest ,Teen ,No ,
Sango Himeyuri,,,,,,Female ,Purple ,Purple ,To Ears ,Teen ,No ,
Azuma Satori,,,,,,Female ,Green ,Orange ,To Chest ,Teen ,No ,
Miyako Miyazaki,,,,,,Female ,Purple ,Purple ,To Waist ,Teen ,No ,
Mayu Tsukimura,,,,,,Female ,Purple ,Pink ,Past Waist ,Teen ,No ,
Ryoko Asakura,,,,,,Female ,Blue ,Blue ,Past Waist ,Teen ,No ,
Yui Nonohara,,,,,,Female ,Purple ,Gray ,To Waist ,Adult ,No ,
Meiya Mitsurugi,,,,,,Female ,Blue ,Purple ,Past Waist ,Teen ,No ,
Haruko Kashiwagi,,,,,,Female ,Green ,Blue ,To Neck ,Teen ,No ,
Umi Hiiragi,,,,,,Female ,Green ,Blue ,To Chest ,Teen ,No ,
Hikari Ousaka,148cm,36kg,80cm,,83cm,Female ,Brown ,Brown ,To Waist ,Teen ,No ,
Chikaru Minamoto,,,,,,Female ,Orange ,Black ,Past Waist ,Teen ,No ,
Yutaka Kobayakawa,,,,,,Female ,Green ,Pink ,To Shoulders ,Teen ,No ,
Setsuna Kiyoura,,,,,,Female ,Red ,Black ,To Shoulders ,Teen ,No ,
Sekai Saionji,155cm,,84cm,62cm,86cm,Female ,Gray ,Black ,To Chest ,Teen ,No ,
Tatsuki Arisawa,155cm,41kg,,,,Female ,Brown ,Black ,To Neck ,Teen ,No ,
Makoto Toritani,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Natsuki Suzumiya,,,,,,Female ,Blue ,Purple ,To Waist ,Teen ,No ,
Nagomi Shiraishi,144cm,,75cm,53cm,78cm,Female ,Blue ,Pink ,To Neck ,Teen ,No ,
Karin Amami,,,,,,Female ,Purple ,Brown ,To Waist ,Teen ,No ,
Keiko Machida,,,,,,Female ,Purple ,Green ,To Ears ,Teen ,No ,
Nonoka Suwa,150cm,,82cm,54cm,80cm,Female ,Yellow ,Brown ,To Chest ,Teen ,No ,
Iori Hayami,155cm,,78cm,57cm,80cm,Female ,Pink ,Blonde ,To Chest ,Teen ,No ,
Marimo Jinguuji,,,,,,Female ,Brown ,Brown ,Past Waist ,Adult ,No ,
Jun Watarase,,,,,,Female ,Purple ,Purple ,Past Waist ,Teen ,No ,
Tomomi Igarashi,150cm,47kg,90cm,,,Female ,Purple ,Green ,To Shoulders ,Teen ,No ,
Mitsuki Irie,159cm,,84cm,53cm,82cm,Female ,Purple ,Brown ,Past Waist ,Teen ,No ,
Ruka Hoshikawa,,,,,,Female ,Green ,Blonde ,Past Waist ,Teen ,No ,
Mai Kawasumi,167cm,49kg,89cm,58cm,86cm,Female ,Green ,Purple ,Past Waist ,Teen ,No ,
Nagisa Furukawa,155cm,43kg,80cm,55cm,81cm,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Yukine Miyazawa,157cm,45kg,,,,Female ,Purple ,Brown ,To Chest ,Teen ,No ,
Minagi Tohno,169cm,48kg,85cm,58cm,84cm,Female ,Pink ,Gray ,To Chest ,Teen ,No ,
Isaku Senegaki,,,,,,Female ,Purple ,Blonde ,Past Waist ,Teen ,No ,
Senju Kawaragi,155cm,,,,,Female ,Green ,Pink ,To Ears ,Teen ,No ,
Koito Koganei,,,,,,Female ,Blue ,Black ,To Neck ,Teen ,No ,
Mitsumi Iwakura,,,,,,Female ,Black ,Brown ,To Neck ,Teen ,No ,
Fumi-chan,,,,,,Female ,Brown ,Black ,To Ears ,Teen ,No ,
Arisa,,,,,,Female ,Pink ,Purple ,Past Waist ,Teen ,No ,
Sakura Minazuki,,,,,,Female ,Red ,Black ,Past Waist ,Teen ,No ,
Aoi Hazuki,,,,,,Female ,Brown ,Black ,To Ears ,Teen ,No ,
Karin Yayoi,,,,,,Female ,Purple ,Brown ,Past Waist ,Teen ,No ,
Hina,,,,,,Female ,Brown ,Brown ,To Ears ,Teen ,No ,
Tsumugi,,,,,,Female ,Brown ,Brown ,To Ears ,Teen ,No ,
Shihono Kobayashi,,,,,,Female ,Green ,Brown ,To Shoulders ,Teen ,No ,
Suzume Iwato,,,,,,Female ,Brown ,Black ,To Shoulders ,Teen ,No ,
Anna Nagumo,,,,,,Female ,Brown ,Pink ,To Neck ,Teen ,No ,
Towa Hiura,,,,,,Female ,Brown ,Black ,To Waist ,Teen ,No ,
Sanae Takigawa,,,,,,Female ,Brown ,Blue ,To Chest ,Teen ,No ,
Mike Nekotani,,,,,,Female ,Green ,Blonde ,To Waist ,Teen ,No ,
Rinka Shishimai,,,,,,Female ,Red ,Black ,To Chest ,Teen ,No ,
Naomi Hitsuji,,,,,,Female ,Green ,Pink ,To Ears ,Teen ,No ,
Mao Oguma,,,,,,Female ,Brown ,Pink ,To Shoulders ,Teen ,No ,
Kaoru Tachibana,,,,,,Female ,Blue ,Gray ,To Neck ,Teen ,No ,
Riku Inohara,,,,,,Female ,Yellow ,Blonde ,To Neck ,Teen ,No ,
Shiori Minagi,,,,,,Female ,Purple ,Black ,To Waist ,Teen ,No ,
Kanna Kanda,,,,,,Female ,Pink ,Pink ,To Chest ,Teen ,No ,
Iina Iida,,,,,,Female ,Yellow ,Black ,To Chest ,Teen ,No ,
Kazune Takigawa,,,,,,Female ,Blue ,Purple ,To Chest ,Teen ,No ,
Reika Hoshino,,,,,,Female ,Purple ,Blue ,To Shoulders ,Teen ,No ,
Natsumi,,,,,,Female ,Pink ,Pink ,To Shoulders ,Teen ,No ,
Anzu Hoshino,,,,,,Female ,Red ,Red ,To Shoulders ,Teen ,No ,
Saki Takamine,,,,,,Female ,Purple ,Purple ,To Chest ,Teen ,No ,
Matsuri Kazamaki ,,,,,,Female ,Red ,White ,To Neck ,Teen ,No ,
Azamin,,,,,,Female ,Yellow ,Gray ,To Shoulders ,Teen ,No ,
Koharu Kawasaki,,,,,,Female ,Brown ,Orange ,To Neck ,Teen ,No ,
Anzu Hanashiro,,,,,,Female ,Purple ,Black ,To Waist ,Teen ,No ,
Alice Kanda,,,,,,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Akira Hodaka,,,,,,Female ,Brown ,Brown ,To Ears ,Teen ,No ,
Eri Kasuga,,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Yurika Kino,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Aoi Miyahara,,,,,,Female ,Purple ,Purple ,To Ears ,Teen ,No ,
Kanan Tsurumi,,,,,,Female ,Blue ,Blue ,To Chest ,Teen ,No ,
Asuka Tsutsumori,,,,,,Female ,Pink ,Pink ,To Shoulders ,Teen ,No ,
Minami Matsudo,146cm,,,,,Female ,Blue ,Gray ,To Neck ,Teen ,No ,
Suika Akikawa,158cm,,,,,Female ,Green ,Brown ,To Waist ,Teen ,No ,
